year,rank,title,artist,lyrics
2006,50,Don't Forget About Us,Mariah Carey,"Don't forget about us
Don't baby, don't baby, don't let it go
Don't forget about us
Don't baby, don't baby, don't let it go

Just let it die
With no goodbyes
Details don't matter
We both paid the price

Tears in my eyes
You know sometimes
It'd be like that baby

Now every time I see you
I pretend I'm fine
When I want to reach out to you
But I turn around and I let it ride

Baby I must confess
We were bigger than anything
Remember us at our best
And don't forget about

Late nights, playing in the dark
And waking up inside my arms
Boy you'll always be in my heart
And I can see it in your eyes, you still want it
So don't forget about us

I'm just speaking from experience
Nothing can compare to your first true love
So I hope this will remind you
When it's for real, it's forever
So don't forget about us

Oh they say
That you're in a new relationship
But we both know
Nothing comes close to

What we had, it perseveres
That we both can't forget it
How good we used to get it

There's only one me and you
And how we used to shine
No matter what you go through
We are one, that's a fact that you can't deny

So baby we just can't let
The fire pass us by
Forever we'd both regret
So don't forget about

Late nights, playing in the dark
And waking up inside my arms
Boy, you'll always be in my heart and
I can see it in your eyes, you still want it
So don't forget about us

I'm just speaking from experience
Nothing can compare to your first true love
So I hope this will remind you
When it's for real, it's forever
So don't forget about us

And if she's got your head all messed up now
That's the trickery
She'll wanna have like you know how this lovin' used to be
I bet she can't do it like me
She'll never be MC
Baby, don't you, don't you forget about us

Late nights, playing in the dark
And waking up inside my arms
Boy you'll always be in my heart and
I can see it in your eyes, you still want it
So don't forget about us

I'm just speaking from experience
Nothing can compare to your first true love
So I hope this will remind you
When it's for real, it's forever
So don't forget about us

Late nights, playing in the dark
And waking up inside my arms
Boy you'll always be in my heart and
I can see it in your eyes, you still want it
So don't forget about us

I'm just speaking from experience
Nothing can compare to your first true love
So I hope this will remind you
When it's for real, it's forever
So don't forget about us

Don't baby, don't baby, don't let it go
Don't baby, don't baby, don't let it go
When it's for real, it's forever
So don't forget about us"
2006,51,Sexy Love,Ne-Yo,"My sexy love... (so sexy...)

She makes the hairs on the back of my neck stand up
Just one touch
And I errupt like a volcano and cover her with my love
Baby girl you make me say (oh oh oh)

And I just can't think (of anything else I'd rather do)
Than to hear you sing (sing my name the way you do)
When we do our thing (when we do the things we do)
Baby girl you make me say (oh oh oh)

Sexy love girl the things you do
(Oh baby baby) Keep me sprung keep running back to you
Who I love making love to you
Baby girl you know you're my (sexy love...)

I'm so addicted to her she's the sweetest touch
Just enough
Still too much say that I simp and I'm sprung all of the above
I can't help she makes me say (oh oh oh)

And I just can't think (of anything else I'd rather do)
Than to hear you sing (sing my name the way you do)
When we do our thing (when we do the things we do)
Oh, baby girl you make me say (oh oh oh)

Sexy love girl the things you do
(Oh baby baby) Keep me sprung keep running back to you
Who I love making love to you
Say baby girl you know you're my (sexy love...)

Oh baby what we do it makes the sun come up
Keep on lovin' till it goes back down
And I don't know what I'd do if I would lose your touch
That's why I'm always keepin' you around... my sexy love

Sexy love girl the things you do (things you do baby)
(Oh baby baby) Keep me sprung keep running back to you (keep me runnin' back to you)
Who I love making love to you
Say baby girl you know you're my (sexy love...)

Sexy love girl the things you do (sexy love)
Keep me sprung keep running back to you (keep me runnin' back to you)
Who I love making love to you
Say baby girl you know you're my (sexy love...)

She makes the hairs on the back of my head stand up
Just one touch..."
2006,52,U and Dat,E-40 featuring T-Pain and Kandi Girl,NaN
2006,53,Far Away,Nickelback,"This time, this place
Misused, mistakes
Too long, too late
Who was I to make you wait

Just one chance
Just one breath
Just in case there's just one left
'Cause you know
You know, you know

That I love you
I have loved you all along
And I miss you
Been far away for far too long

I keep dreaming you'll be with me
and you'll never go
Stop breathing if
I don't see you anymore

On my knees, I'll ask
Last chance for one last dance
'Cause with you, I'd withstand
All of hell to hold your hand

I'd give it all
I'd give for us
Give anything but I won't give up
'Cause you know
You know, you know

That I love you
I have loved you all along
And I miss you
Been far away for far too long

I keep dreaming you'll be with me
and you'll never go
Stop breathing if
I don't see you anymore

So far away, so far away
Been far away for far too long
So far away, so far away
Been far away for far too long
But you know, you know, you know

I wanted
I wanted you to stay
'Cause I needed
I need to hear you say
That I love you

I have loved you all along
And I forgive you
For being away for far too long
So keep breathing

'Cause I'm not leaving you anymore
Believe it
Hold on to me and never let me go
Keep breathing

'Cause I'm not leaving you anymore
Believe it
Hold on to me and never let me go
Keep breathing
Hold on to me and never let me go
Keep breathing
Hold on to me and never let me go"
2006,54,What's Left of Me,Nick Lachey,"Watch my life
Pass me by
In the rear view mirror
Pictures frozen in time
Are becoming clearer
I don't want to waste another day
Stuck in the shadow of my mistakes

Yeah

'Cause I want you
And I feel you
Crawling underneath my skin
Like a hunger
Like a burning
To find a place I've never been

Now I'm broken
And I'm fading
I'm half the man I thought I would be
But you can have what's left of me

I've been dying inside
Little by little
No where to go
But going out of my mind
In endless circles
Running from myself until
You gave me a reason for standing still

And I want you
And I feel you
Crawling underneath my skin
Like a hunger
Like a burning
To find a place I've never been

Now I'm broken
And I'm fading
I'm half the man I thought I would be
But you can have what's left of me

Falling faster
Barely breathing
Give me something
To believe in
Tell me it's not all in my head

Take what's left
Of this man
Make me whole
Once again

'Cause I want you
And I feel you
Crawling underneath my skin
A hunger
Like a burning
To find a place I've never been

Now I'm broken
And I'm fading
I'm half the man I thought I would be
But you can have all that's left, yeah yeah yeah
What's left of me?

I've been dying inside you see
I'm going out my
Out my mind
I'm just running in circles all the time
Will you take what's left?
Will you take what's left?
Will you take what's left of me?

Just running in circles in my mind
Will you take what's left?
Will you take what's left?
Will you take what's left of me?
Take what's left of me"
2006,55,So What,Field Mob featuring Ciara,NaN
2006,56,Do It to It,Cherish featuring Sean P,NaN
2006,57,Black Horse and the Cherry Tree,KT Tunstall,"Two, three, four

(Woo-hoo, woo-hoo)
(Woo-hoo, woo-hoo)

Well my heart knows me better than I know myself
So I'm gonna let it do all the talking.
(Woo-hoo, woo-hoo)
I came across a place in the middle of nowhere
With a big black horse and a cherry tree.
(Woo-hoo, woo-hoo)

I felt a little fear, upon my back
I said, ""Don't look back, just keep on walking.""
(Woo-hoo, woo-hoo)
When the big black horse said, ""Look this way.""
He said, ""Hey lady, will you marry me?""
(Woo-hoo, woo-hoo)

But I said, ""No, no. No, no-no-no.
""No, no. You're not the one for me.
""No, no. No, no-no-no.
""No, no. You're not the one for me.""

(Ooh, woo-hoo)

No, no, no, no.

And my heart had a problem, in the early hours,
So I stopped it dead for a beat or two.
(Woo-hoo, woo-hoo)
But I cut some cord, and I shouldn't have done that,
And it won't forgive me after all these years
(Woo-hoo, woo-hoo)

So I sent it to a place in the middle of nowhere
With a big black horse and a cherry tree.
(Woo-hoo, woo-hoo)
Now It won't come back, 'cause it's oh so happy
And now I've got a hole for the world to see
(Woo-hoo, woo-hoo)

And It said, ""No, no, no, no-no-no.
""No, no, you're not the one for me.
""No, no, no, no-no-no.
""No, no, you're not the one for me.""

(Ooh, woo-hoo) (not the one for me, yeah-eh)
(Ooh, woo-hoo)
Said no, no, no, no, no, no, no, no-no
You're not the one for me
No, no, no, no, no, no, no, no-no
You're not the one for me

Big black horse and a cherry tree
I can't quite get there cause my heart's forsaken me
Big black horse and a cherry tree
I can't quite get there cause my heart's forsaken me"
2006,58,There It Go (The Whistle Song),Juelz Santana,"San-tana (aye)

It's dipset Bitch

There it go
Baby don't stop now
There it go
Baby don't stop now

(Whistling)
There it go
Damn shorty look good and I'm thinkin' bout gettin' at her (okay)
Time to whistle at her
Aye girl you make my whistle blow

There it go
Bring it here baby
There it go
Bring it here baby

Top down and I'm at it again
It's hot now and I'm at it to win
(You heard me)
Who want it with me
Nobody wanna it with me
Oh I'm so fly
Oh Mami come 'n' get me
Sit it down
Back up
Bring it on back up
Move it till you feel something hard on your back (Ugh)

There it go
If you want it come and get it
I ain't kiddin I'm wit it
Here it go (go)
So Girl LET ME SEE YOU GET LOW
There it go
Yeah jus like that
Move your thang like a boomarang
And come right back
There it go
I don't need to ask I proceed to grab
A chiks up my G'd up swagger

There it go
(Whistling)
There it Go
Damn shorty look good and I'm thinkin' bout gettin' at her (okay)
Time to whistle at her
Aye girl you make my whistle blow

There it go
Bring it here baby (c'mon)
There it go
Bring it here baby (c'mon)

Aye girl let me see you get low
There it go
Set it down baby
There it go
Set it down baby

There it go its dipset (oh)
There it go Aye Aye Aye
There it go its dipset (oh)
There it go Aye Aye Aye

I got to get it
I'm so hot terrific
So not fair to the other guyz to sin it
I know not unlimit
There's no skys a limit
Till then
Imma do imma do imma do ma thang
So baby keep moving moving 'n' moving your thang
And that'll keep you 'n' you n you in the ring (or maybe not)

Aye girl you make me want to know
You do it like a pro lil lady
If so bring it here let it show lil lady
There it go
Lets go lil lady to the crib, to the tele
You know lil lady

Run
Yes girl
Uhm yes you can have a
Confess girl to the sunset girl (girl)
But first I gotta Undress girl
So take off dem clothes and UNdress Girl

There it go
(Whistling)
There it Go
Damn shorty look good and I'm thinkin' bout gettin' at her (okay)
Time to whistle at her
Aye girl you make my whistle blow

There it go
Bring it here baby (c'mon)
There it go
Bring it here baby (c'mon)

Aye girl let me see you get low
There it go
Set it down baby
There it go
Set it down baby

(Beat drops)
(Whistle continues)"
2006,59,Shoulder Lean,Young Dro featuring T.I.,NaN
2006,60,Unpredictable,Jamie Foxx featuring Ludacris,NaN
2006,61,My Love,Justin Timberlake featuring T.I.,NaN
2006,62,Shake That,Eminem featuring Nate Dogg,NaN
2006,63,Pullin' Me Back,Chingy featuring Tyrese,NaN
2006,64,Bossy,Kelis featuring Too Short,NaN
2006,65,Chain Hang Low,Jibbs,"Do your chain hang low
Do it wobble to da flo
Do it shinin' in the light
Is it platinum is it gold
Could you throw it ov'r ya shoulda
If ya hot it make ya cold
Do your chain hang low

Is that your chain!
Bout 24 inches is how low I let it hang
How 'bout the ride 'n' let the diamonds smoke off the range
Just by the chain you can tell the big kid do a stain
U know the name,

Is that yo chain
Bout 24 inches iz how low I let it hang
How 'bout the ride 'n' let the diamonds smoke off the range
Just by the chain you can tell a big kid do a stain
I'm off the chain,

Yeah yeah yeah yeah
I'm hot kid,
Chains so low you would think that diamonds never stop it
And its funny cause you could never stop it
A bunch of rocks on my hand n I ain't even on the block yet
Show 'em white gold sorta hold 'em like my tims
And a chain hang 24 inches like the rims
Diamonds all blown up yeah sorta like a pimp
So when I like hit the ice
It starts glistenin off the tims (off the tims)

My chain hang
All it do iz blang blang,
Have blue have red
Like my diamonds gang bang
And don evn thank
We on tha same thing
Charms so heavy they couldn' lift it till the crane came

(Do your chain hang low
Do it wobble to da flo
Do it shine n n the light
Iz it platinum iz it gold
Could you throw it ov'r ya shoulda
If ya hott it make ya cold
Do your chain hang low)

(Do your chain hang low
Do it wobble to da flo
Do it shine n n the light
Iz it platinum iz it gold
Could you throw it ov'r ya shoulda
If ya hott it make ya cold
Do your chain hang low)

(Chain) Yeah yeah yeah yeah
I'm so icy (do yo chain)
My trunk so heavy that my neck don't like me (do yo chain)
Go 'n' no no no iz not a game kid (do yo chain)
'Cause I throw my chain in the crowd (do do do do do do yo chain) like game B

Iz nothin'
Diamonds iz nothin' to me
(Do yo chain) especially when I'm dressin up
Iz just a button to me
Bling! (could you thro it ovr' yo shoulda) and not to mention my teeth
'Cause they color coordinated
Complimentin' the teeth
Oh bra (boy) dats!

So check out my swag
Diamonds red white 'n' blue like the American flag
Boy (do yo chain) iz so colorful
N see I got that nice screen
My money I spend on jewels
I call it my ice cream (chain chain chain chain)

My music give u a black eye
'Cause of the beating
They think I am a mutant
They way a boy iz beasting (chain chain chain chain)
I stay when 'n' sometime u a call it cheating
Yeah my boyz alwayz around
Like iz a mee-ting

Iz that yo (do yo chain) chain
Bout 24 inches iz how low I let it hang (do yo chain)
How 'bout the ride 'n' let the diamonds smoke off the range (do yo chain)
Just by the chain you can tell a big kid do a stain (do yo chain)
U know da name (do do do do do do do yo chain)

Iz that yo chain
Bout 24 inches iz how low I let it hang (do yo chain)
How 'bout the ride 'n' let the diamonds smoke off the range (do yo chain)
Just by the chain you can tell a big kid do a stain (do yo chain)
I'm off the chain (do do do do do do do yo chain)

(Do your chain hang low
Do it wobble to da flo
Do it shine n n the light
Iz it platinum iz it gold
Could you throw it ov'r ya shoulda
If ya hott it make ya cold
Do your chain hang low)

(Do your chain hang low
Do it wobble to da flo
Do it shine n n the light
Iz it platinum iz it gold
Could you throw it ov'r ya shoulda
If ya hott it make ya cold
Do your chain hang low)"
2006,66,Smack That,Akon featuring Eminem,NaN
2006,67,One Wish,Ray J,"Damn baby
Just don't understand where we went wrong
I gave you my heart
I gave you my soul
I gave you...

As a matter of fact I was the one who said I love you first
It was about eight years ago, don't act like you don't know
We were sittin' at home in your mama's livin' room
Cause, we couldn't be alone
See your mama knew I was something else, she knew how I felt
Back then we were in school; and that's your favourite excuse
Growin' up I was a fool; and I can't lie I'm missing you
Listen and don't trip
I think I need a bottle with a genie in it
Here's my wish list

First one, I would create a heart changing love
Second one, I'll take yours and fill it all up
Third one, but I don't need a lot of wishes 'cause I'll be okay if I get one

If I had one wish, we would be best friends
Love would never end, it would just begin
If I had one wish, you would be my boo
Promise to love you, trust me I'll trust you
If I had one wish, we would run away
Making love all day, have us a baby
If I had one wish, I'd make you my whole life
And you'd be my wife, make it right this time

If I had one wish
One wish, one wish, one wish
One wish, one wish, one wish
One wish, one wish, one wish
One wish, one wish, one wish

Now tell me is this the only way I can get you right back in
If so then searchin' I'll go, then I can have you for sho
Then you'll be loving me, holding me, kissing me
So girl don't tell me what I'm feeling is make believe
I swear if I lose a second chance with you
I wouldn't know what to do
I'd probably check myself into some kind of clinic
I couldn't be alone because without you I'm sick
Here's my wish list

First one, I would create a heart changing love
Second one, I'll take yours and fill it all up
Third one, but I don't need a lot of wishes 'cause I'll be okay if I get one

If I had one wish, we would be best friends
Love would never end, it would just begin
If I had one wish, you would be my boo
Promise to love you, trust me I'll trust you
If I had one wish, we would run away
Making love all day, have us a baby
If I had one wish, I'd make you my whole life
And you'd be my wife, make it right this time
If I had one wish

I don't even know how we ended upon this road
And, even though we are grown, Girl I just want you to know

If I had one wish, we would be best friends
Love would never end, it would just begin
If I had one wish, you would be my boo
Promise to love you, trust me I'll trust you
If I had one wish, we would run away
Making love all day, have us a baby
If I had one wish, I'd make you my whole life
And you'd be my wife, make it right this time"
2006,68,"Sugar, We're Goin Down",Fall Out Boy,"Am I more than you bargained for yet?
I've been dyin' to tell you anything you want to hear
'Cause that's just who I am this week
Lie in the grass, next to the mausoleum
I'm just a notch in your bedpost, but you're just a line in a song
(Notch in your bedpost, but you're just a line in a song)

Drop a heart, and break a name
We're always sleeping in, and sleeping for the wrong team

We're goin' down, down, in an earlier round
And sugar, we're goin' down swingin'
I'll be your number one with a bullet,
A loaded God complex, cock it and pull it

We're goin' down, down, in an earlier round
And sugar, we're goin' down swingin'
I'll be your number one with a bullet,
A loaded God complex, cock it and pull it

Is this more than you bargained for yet?
Oh, don't mind me I'm watching you two from the closet,
Wishing to be the friction in your jeans
Isn't it messed up, how I'm just dying to be him?
I'm just a notch in your bedpost but you're just a line in a song
(Notch in your bedpost, but you're just a line in a song)

And drop a heart and break a name
We're always sleeping in, and sleeping for the wrong team

We're goin' down, down, in an earlier round
And sugar, we're goin' down swingin'
I'll be your number one with a bullet,
A loaded God complex, cock it and pull it

We're goin' down, down, in an earlier round
And sugar, we're goin' down swingin'
I'll be your number one with a bullet,
A loaded God complex, cock it and pull it

Down, down in an earlier round
And sugar, we're goin' down swingin'
I'll be your number one with the bullet,
A loaded God complex, cock it and pull it

We're goin' down, down in an earlier round (Take aim at myself) (Down, down in an earlier round)
And sugar, we're goin' down swingin' (Take back what you said)
I'll be your number one with a bullet, (Take aim at myself)
A loaded God complex, cock it and pull it

We're goin' down, down (down, down)
Down, down (down, down)
We're goin' down, down (down, down)
A loaded God complex, cock it and pull it

We're goin' down, down in an earlier round (Take aim at myself)
And sugar, we're goin' down swingin' (Take back what you said)
I'll be your number one with a bullet, (Take aim at myself)
A loaded God complex, cock it and pull it"
2006,69,Gimme That,Chris Brown featuring Lil Wayne,NaN
2006,70,I Know You See It,Yung Joc,"Yung Joc
Inny meeny miny mo
How many bitches from the club won't go
(I know you see it, I know you see it)

Ms. B.
I'm like inny meeny miny mo
How many niggas in the club won't go
(I know you see it, I know you see it)

Yung Joc
Now you can call me tipdrill, they playing my song
Throw a couple ones, then she throw away her thongs
When she bust it open, take a picture with my phone
She love my cologne, call it perk body zone
Now she pussy poppin', it's goin' down
Slap the waitress on the booty, tell her ""get another round""
And when I make it rain, money all over the ground
Fresh force ones, Sean John button down
And then I'm like ""oh boy, a clique fulla stars""
Big four fifth, big dick, and big cars
At the end of the day, when it's all said and done
I need four freaks 'cause I need more than one

Yung Joc
Inny meeny miny mo
How many bitches from the club won't go
(I know you see it, I know you see it)
I'm like bim bam, I know you want some
She chewing on the dick like a piece of bubble yum
(I know you see it, I know you see it)
Ms. B.
I'm like inny meeny miny mo
How many niggas in the club won't go
(I know you see it, I know you see it)
Then I'm like bim bam, I know you want some
You chewing on the pussy like a piece of bubble yum
(I know you see it, I know you see it)

Ms. B.
I ain't never been the type to show off in the club
Real laid back poppin' plenty bottles of
Bub, don't smoke but I got much purp
Get that nigga real high, make him slurp it then burp
Could you be a groupie? I hear you singin' my song
Like I see you, lemme feel your tongue
It's me, Ms. B. nigga, let me get you laced
Take a step back, blow the pussy in ya face
I ain't talking cush nigga, talking a rat race
So many to choose from, give 'em all a little taste
Gotta house fulla pussy, the madam of hip hop
My bitches are superstars, so gushy you need a mop
Yeah

Yung Joc
I got stacks on deck, snowflakes on my neck
New J's on my feet, make my outfit complete
(I know you see it, I know you see it)

Ms. B.
I got stacks on deck, niggas love my flow
Got a mohawk blowin', air forces that glow
(I know you see it, I know you see it)

Yung Joc
Inny meeny miny mo
How many bitches from the club won't go
(I know you see it, I know you see it)
I'm like bim bam, I know you want some
She chewing on the dick like a piece of bubble yum
(I know you see it, I know you see it)

Ms. B.
I'm like inny meeny miny mo
How many niggas in the club won't go
(I know you see it, I know you see it)"
2006,71,Who Says You Can't Go Home,Bon Jovi featuring Jennifer Nettles,NaN
2006,72,Too Little Too Late,JoJo,"Come with me
Stay the night
Just say the words but boy it don't feel right
What do you expect me to say? (You know it's just too little too late)
You take my hand and you say you've changed
But boy you know your begging don't fool me
Because to you it's just a game (You know it's just too little too late)

So let me on down now
'Cause time has made me strong
I'm starting to move on
I'm going to say this now
Your chance has come and gone
And you know... it's just too little too late
A little too wrong
And I can't wait
But you know all the right things to say (You know it's just too little too late)
You say you dream of my face
But you don't like me you just like the chase
So be real, it doesn't matter anyway (You know it's just too little too late)

Yeah yeah... it's just too little too late... hmm

I was young and in love
I gave you everything but it wasn't enough
And now you want to communicate (You know it's just too little too late)
Go find someone else and letting you go

I'm loving myself
You got a problem
But don't come asking me for help
'Cause you know... it's just too little too late
A little too wrong, and I can't wait
But you know all the right things to say (You know it's just too little too late)
You say you dream of my face
But you don't like me you just like the chase
So be real, it doesn't matter anyway (You know it's just too little too late)

I can love with all of my heart, baby
I know I have so much to give (I have so much to give)
With a player like you I don't have a prayer
That's no way to live... oh... mm no... it's just too little too late
Yeah... it's just too little too late (Too late oh too late)
A little too wrong
And I can't wait
Yeah... but you know all the right things to say (You know it's just too little too late)
You say you dream of my face
But you don't like me you just like the chase (You just like the chase)
So be real, it doesn't matter anyway (You know it's just too little too late)

Yeah... you know it's just too little too late
Oh...
I can't wait
No no oh... it's just too little too late
A little too wrong
And I can't wait
But you know all the right things to say (You know it's just too little too late)
You say you dream of my face
But you don't like me you just like the chase
So be real, it doesn't matter anyway (You know it's just too little too late)"
2006,73,Touch It,Busta Rhymes,"(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

Aiyyo, Swizz, I don't think they ready for this shit
Aiyyo, let me take they ass back to the club real quick

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it) (Get low, Bus!)

Who be the king of the sound? (Aha)
Busta Bus back to just put a lock on a town (Aha)
Lot of my bitches be comin' from miles around
See they be cumin' (Ooh!) 'cause they know how the god get down (Turn it up!)

(Now you know who holdin' the throne so gimme the crown) (Ooh!)
(Niggas solutin' and tryin' to give me a pound) (Come on)
(I don't really fuck with you niggas you niggas is clowns
Makin' the bitches strippin' throw they shit on the ground) (Get low, Bus!)

Now that's the way that it goes (Aha)
When we up in the spot the shit be flooded with hoes (Come on)
See we a make it hot, the chicks will come out their clothes
That's when you get it (huh) mami already know I suppose (Turn it up!)

(Shorty wildin' and shorty open she beastin' it out
For the record) (Ooh!) (Just a second I'm freakin' it out) (Come on)
(While she tryin' to touch see I was peepin' it out
She turned around and was tryin' to put my dick in her mouth, I let her

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it) (Get low, Bus!)

And as we started, got me ringing her bell (Aha)
When I come I be doin' it and doin' it well (Aha)
Then I beat up the coochie and be makin' it swell
Tryin' to hide the smell of the sex, spraying on the chanel (Turn it up!)

(Then they try to walk with a strut so no one could tell) (Come on)
(How a nigga got in they butt, made everything jail) (Come on)
(Now the tickle wild like a nut, she blowin' my cell) (Come on)
(Can't get enough of the kid I put her under my spell) (Get low, Bus!)

It's crowded, mami, move it along (Aha)
If you know you 'bout it then get to removin' your thong (Aha)
To the whip in back of the truck that's where you belong
After the yac, see the type of raunchy shit they be on (Turn it up!)

(Street niggas respect it because my movement is strong) (Come on)
('Cause we consistently reppin' see my money is long
All my bitches is with me see how they singin' the song
Plus how we give you the stick and we be dickin' along, I let her)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it) (Get low, Bus!)

The god of the black, see that I'm back (Aha)
Every single time that I drop, the shit is a wrap (Aha)
For the niggaz hatin' the kid I'm close to strap
'Cause all these bitches wanna come talk to sit on my lap (Turn it up!)

(Everytime I give you bang shit to knock in your whip) (Come on)
(Nigga always do his thing, bitch, lockin' the strip) (Come on)
(Lot of mami's is dancin' and they shakin' they hips) (Ooh)
(After that they get low and put the thing on their lips, I let 'em

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)

(Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it
Touch it, bring it, babe, watch it
Turn it, leave it, stop, format it)"
2006,74,Rompe,Daddy Yankee,"Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)
Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)
Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)
(You know!)

Los cacos están ready
Las mami's están ready
Y en la calle 'tamos ready
Yeah, yeah, andamos ready
Los barrios están ready
One, two, get ready
(Come on!)
(Oh, oh, oh, oh!)

Rompe, rompe, rompe! (Bien guilla'o!)
Rompe, rompe, rompe! (Ese cuerpo ella lo!)
Rompe, rompe, rompe! (Bien guilla'o!) (Are you ready?)
Rompe, rompe, rompe! (Break it down!)
Rompe, rompe, rompe! (The way she moves ella lo!)
Rompe, rompe, rompe! (Break it down!)
(Let's go!)

My boo no se limita a la hora de romper su pumpum
Con curvas más calientes que el ""sun""
Raitrú, enséñame si tienes la actitud, mami
(Dale, go!) (Dale, go!) (Dale, go-go!)
Tiempo; llego el momento, baby, de perder el control
Trabájame ese cuerpo mas que un show de                
Sube ese temperamento, dame movimiento
Lento, lento, y ella lo..

Rompe, rompe, rompe! (Bien guilla'o!)
Rompe, rompe, rompe! (Ese cuerpo ella lo!)
Rompe, rompe, rompe! (Bien guilla'o!) (Are you ready?)
Rompe, rompe, rompe! (Break it down!)
Rompe, rompe, rompe! (The way she moves ella lo!)
Rompe, rompe, rompe! (Break it down!)
(Go, go, go, go!)

Voy chillin', tranquilo, that's right
Buscando una gata que cae
No escondas todo eso que traes
(Yo!) ¿Baby, que hay?
Voy chillin', tranquilo, that's right
Buscando una gata que cae
No escondas todo eso que traes
¿Que pasa, socio?
¿Que es la que hay?
Viste, buey..
Pensaste que esto es un mamey
No vo'a dar break
Que el se guille de ""Scarface""
Get out my way
Usted no vende ni en eBay
No das pa' na'
Conmigo 'ta Frito-Lay
Chequea el swing
Que se le pega a to'a las nenas mas que un g-string
Yo soy la pesadilla de todos los dream team
Ya se te acabo el magazine
Conmigo no te la guilles, pa', de listerín
Daddy te..

Rompe, rompe, rompe! (Bien guilla'o!)
Rompe, rompe, rompe! (Ese cuerpo ella lo!)
Rompe, rompe, rompe! (Bien guilla'o!) (Are you ready?)
Rompe, rompe, rompe! (Break it down!)
Rompe, rompe, rompe! (The way she moves ella lo!)
Rompe, rompe, rompe! (Break it down!)

Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)
Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)
Nananana... (Hey!)
Nananana... (Hey!)
Nanananana... (Hey!)

(You know!)
(Oh, oh, oh!)
(""En Directo""!)
(Oh, oh, oh!)
(Daddy Yankee!) (Yo!)
(Con los Yedais!)
(Monserrate &amp; DJ Urba!)
(Fresh!)
(It's official!)
(Daddy Yankee!)
(Cartel Records!)
(""En Directo""!)"
2006,75,Déjà Vu,Beyoncé featuring Jay-Z,NaN
2006,76,Life Is a Highway,Rascal Flatts,"Hoo!
Mmm yeah

Life's like a road that you travel on
When there's one day here and the next day gone
Sometimes you bend, sometimes you stand
Sometimes you turn your back to the wind
There's a world outside ev'ry darkened door
Where blues won't haunt you anymore
Where the brave are free and lovers soar
Come ride with me to the distant shore
We won't hesitate
To break down the garden gate
There's not much time left today

Life is a highway
I wanna ride it all night long
If you're going my way
I wanna drive it all night long

Through all these cities and all these towns
It's in my blood and it's all around
I love you now like I loved you then
This is the road and these are the hands
From Mozambique to those Memphis nights
The Khyber Pass to Vancouver's lights

Knock me down get back up again
You're in my blood
I'm not a lonely man
There's no load I can't hold
A road so rough this I know
I'll be there when the light comes in
Just tell 'em we're survivors

Life is a highway
I wanna ride it all night long
Whooo
If you're going my way
I wanna drive it all night long (all night long)

Ah gimme gimme gimme gimme yeah

Life is a highway
I wanna ride it all night long
Umm yeah
If you're going my way (you're going my way)
I wanna drive it all night long (all night long)

There was a distance between you and I (between you and I)
A misunderstanding once
But now we look it in the eye

Ooooo...Yeah!

There ain't no load that I can't hold
A road so rough this I know
I'll be there when the light comes in
Just tell 'em we're survivors

Life is a highway
I wanna ride it all night long (all night long)
If you're going my way
I wanna drive it all night long

Ah gimme gimme gimme, ah gimme gimme yeah

Life is a highway (life is a highway)
I wanna ride it all night long
Ooh yeah
If you're going my way (you're going my way)
I wanna drive it all night long (all night long)

Gimme gimme gimme gimme gimme gimme yeah

Life is a highway
I wanna ride it all night long
Yeah I wanna drive it all night long baby
If you're going my way (you're going my way)
I wanna drive it all night long
All night long"
