Year,No.,Title,Artist(s)
2000,64,I Wish,Carl Thomas
2000,65,U Know What's Up,Donell Jones
2000,66,Faded,soulDecision featuring Thrust
2000,67,Only God Knows Why,Kid Rock
2000,68,Shake Ya Ass,Mystikal
2000,69,Bag Lady,Erykah Badu
2000,70,Meet Virginia,Train
2000,71,Party Up (Up in Here),DMX
2000,72,Case of the Ex,Mýa
2000,73,Forgot About Dre,Dr. Dre featuring Eminem
2000,74,That's the Way,Jo Dee Messina
2000,75,Swear It Again,Westlife
2000,76,The Next Episode,Dr. Dre featuring Snoop Dogg
2000,77,From the Bottom of My Broken Heart,Britney Spears
2000,78,Crash and Burn,Savage Garden
2000,79,Yes!,Chad Brock
2000,80,The Best Day,George Strait
2000,81,Where I Wanna Be,Donell Jones
2000,82,How Do You Like Me Now?!,Toby Keith
2000,83,My Best Friend,Tim McGraw
2000,84,Broadway,Goo Goo Dolls
2000,85,What'chu Like,Da Brat featuring Tyrese
2000,86,Don't Think I'm Not,Kandi
2000,87,I Hope You Dance,Lee Ann Womack
2000,88,Better Off Alone,Alice Deejay
2000,89,Dance with Me,Debelah Morgan
2000,90,What About Now,Lonestar
2000,91,I Like It,Sammie
2000,92,24/7,Kevon Edmonds
2000,93,Girl on TV,LFO
2000,94,Bounce with Me,Lil' Bow Wow featuring Xscape
2000,95,Cowboy Take Me Away,Dixie Chicks
2000,96,I Don't Wanna,Aaliyah
2000,97,Independent Women,Destiny's Child
2000,98,Gotta Tell You,Samantha Mumba
2000,99,Waiting for Tonight,Jennifer Lopez
2000,100,Shackles (Praise You),Mary Mary
2001,1,Hanging by a Moment,Lifehouse
2001,2,Fallin',Alicia Keys
2001,3,All for You,Janet Jackson
2001,4,Drops of Jupiter (Tell Me),Train
2001,5,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule
2001,6,If You're Gone,Matchbox Twenty
2001,7,Let Me Blow Ya Mind,Eve featuring Gwen Stefani
2001,8,Thank You,Dido
2001,9,Again,Lenny Kravitz
2001,10,Independent Women,Destiny's Child
2001,11,Hit 'Em Up Style (Oops!),Blu Cantrell
2001,12,It Wasn't Me,Shaggy featuring Rikrok
2001,13,Stutter,Joe featuring Mystikal
2001,14,It's Been Awhile,Staind
2001,15,U Remind Me,Usher
2001,16,Where the Party At,Jagged Edge featuring Nelly
2001,17,Angel,Shaggy featuring Rayvon
2001,18,Ride wit Me,Nelly featuring City Spud
2001,19,Follow Me,Uncle Kracker
2001,20,Peaches & Cream,112
2001,21,Drive,Incubus
2001,22,What Would You Do?,City High
2001,23,Survivor,Destiny's Child
2001,24,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink"
2001,25,Ms. Jackson,OutKast
2001,26,Love Don't Cost a Thing,Jennifer Lopez
2001,27,The Way You Love Me,Faith Hill
2001,28,He Loves U Not,Dream
2001,29,Butterfly,Crazy Town
2001,30,Put It on Me,Ja Rule featuring Lil' Mo and Vita
2001,31,Family Affair,Mary J. Blige
2001,32,I Hope You Dance,Lee Ann Womack
2001,33,South Side,Moby featuring Gwen Stefani
2001,34,Don't Tell Me,Madonna
2001,35,Get Ur Freak On,Missy Elliott
2001,36,Crazy,K-Ci & JoJo
2001,37,Fill Me In,Craig David
2001,38,Someone to Call My Lover,Janet Jackson
2001,39,With Arms Wide Open,Creed
2001,40,Case of the Ex,Mýa
2001,41,All or Nothing,O-Town
2001,42,Bootylicious,Destiny's Child
2001,43,I'm Like a Bird,Nelly Furtado
2001,44,Kryptonite,3 Doors Down
2001,45,Fiesta,R. Kelly featuring Jay-Z
2001,46,When It's Over,Sugar Ray
2001,47,Jaded,Aerosmith
2001,48,Promise,Jagged Edge
2001,49,Missing You,Case
2001,50,Differences,Ginuwine
2001,51,This I Promise You,'N Sync
2001,52,Izzo (H.O.V.A.),Jay-Z
2001,53,Superwoman Pt. II,Lil' Mo featuring Fabolous
2001,54,Crazy for This Girl,Evan and Jaron
2001,55,Nobody Wants to Be Lonely,Ricky Martin and Christina Aguilera
2001,56,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001,57,One Minute Man,Missy Elliott featuring Ludacris
2001,58,Danger (Been So Long),Mystikal featuring Nivea
2001,59,Only Time,Enya
2001,60,I Do!!,Toya
2001,61,Never Had a Dream Come True,S Club 7
2001,62,Stranger in My House,Tamia
2001,63,Irresistible,Jessica Simpson
2001,64,Heard It All Before,Sunshine Anderson
2001,65,The Space Between,Dave Matthews Band
2001,66,There You'll Be,Faith Hill
2001,67,Love,Musiq Soulchild
2001,68,It's Over Now,112
2001,69,No More (Baby I'ma Do Right),3LW
2001,70,Turn Off the Light,Nelly Furtado
2001,71,Ain't Nothing 'bout You,Brooks & Dunn
2001,72,Play,Jennifer Lopez
2001,73,I'm Already There,Lonestar
2001,74,My Baby,Lil' Romeo
2001,75,Beautiful Day,U2
2001,76,Austin,Blake Shelton
2001,77,Southern Hospitality,Ludacris
2001,78,Grown Men Don't Cry,Tim McGraw
2001,79,Livin' It Up,Ja Rule featuring Case
2001,80,Loverboy,Mariah Carey featuring Cameo
2001,81,Contagious,The Isley Brothers featuring R. Kelly and Chanté Moore
2001,82,Who I Am,Jessica Andrews
2001,83,Music,Erick Sermon featuring Marvin Gaye
2001,84,I Wanna Be Bad,Willa Ford
2001,85,Don't Happen Twice,Kenny Chesney
2001,86,One More Day,Diamond Rio
2001,87,I Wish,R. Kelly
2001,88,It's a Great Day to Be Alive,Travis Tritt
2001,89,I'm a Thug,Trick Daddy
2001,90,Here's to the Night,Eve 6
2001,91,You Shouldn't Kiss Me Like This,Toby Keith
2001,92,Get Over Yourself,Eden's Crush
2001,93,Dance with Me,Debelah Morgan
2001,94,So Fresh So Clean,Outkast
2001,95,E.I.,Nelly
2001,96,Be Like That,3 Doors Down
2001,97,Most Girls,Pink
2001,98,Oochie Wally,Nas and Bravehearts
2001,99,Hero,Enrique Iglesias
2001,100,Hemorrhage (In My Hands),Fuel
2002,1,How You Remind Me,Nickelback
2002,2,Foolish,Ashanti
2002,3,Hot in Herre,Nelly
2002,4,Dilemma,Nelly featuring Kelly Rowland
2002,5,Wherever You Will Go,The Calling
2002,6,A Thousand Miles,Vanessa Carlton
2002,7,In the End,Linkin Park
2002,8,What's Luv?,Fat Joe featuring Ashanti
2002,9,U Got It Bad,Usher
2002,10,Blurry,Puddle of Mudd
2002,11,Complicated,Avril Lavigne
2002,12,Always on Time,Ja Rule featuring Ashanti
2002,13,Ain't It Funny,Jennifer Lopez featuring Ja Rule
2002,14,The Middle,Jimmy Eat World
2002,15,I Need a Girl (Part One),P. Diddy featuring Usher and Loon
2002,16,U Don't Have to Call,Usher
2002,17,Family Affair,Mary J. Blige
2002,18,I Need a Girl (Part Two),"P. Diddy featuring Ginuwine, Loon and Mario Winans"
2002,19,Gangsta Lovin',Eve featuring Alicia Keys
2002,20,My Sacrifice,Creed
2002,21,Without Me,Eminem
2002,22,Hero,Enrique Iglesias
2002,23,All You Wanted,Michelle Branch
2002,24,Get the Party Started,Pink
2002,25,Hero,Chad Kroeger featuring Josey Scott
2002,26,Wasting My Time,Default
2002,27,One Last Breath,Creed
2002,28,"Whenever, Wherever",Shakira
2002,29,I'm Gonna Be Alright,Jennifer Lopez featuring Nas
2002,30,Oh Boy,Cam'ron featuring Juelz Santana
2002,31,Heaven,DJ Sammy featuring Yanou and Do
2002,32,Hey Baby,No Doubt featuring Bounty Killer
2002,33,Girlfriend,'N Sync featuring Nelly
2002,34,Just a Friend 2002,Mario
2002,35,Soak Up the Sun,Sheryl Crow
2002,36,Don't Let Me Get Me,Pink
2002,37,Nothin',N.O.R.E.
2002,38,Oops (Oh My),Tweet featuring Missy Elliott
2002,39,A Moment Like This,Kelly Clarkson
2002,40,Addictive,Truth Hurts featuring Rakim
2002,41,Happy,Ashanti
2002,42,No Such Thing,John Mayer
2002,43,Just Like a Pill,Pink
2002,44,Down 4 U,"Ja Rule featuring Ashanti, Charli Baltimore and Vita"
2002,45,Can't Get You Out of My Head,Kylie Minogue
2002,46,Superman (It's Not Easy),Five for Fighting
2002,47,Cleanin' Out My Closet,Eminem
2002,48,Halfcrazy,Musiq Soulchild
2002,49,"Lights, Camera, Action!",Mr. Cheeks
2002,50,Still Fly,Big Tymers
2002,51,A Woman's Worth,Alicia Keys
2002,52,7 Days,Craig David
2002,53,Hey Ma,Cam'ron featuring Juelz Santana and Freekey Zekey
2002,54,Work It,Missy Elliott
2002,55,Move Bitch,Ludacris featuring Mystikal and I-20
2002,56,Can't Fight the Moonlight,LeAnn Rimes
2002,57,Escape,Enrique Iglesias
2002,58,More than a Woman,Aaliyah
2002,59,Hella Good,No Doubt
2002,60,I Love You,Faith Evans
2002,61,Gotta Get thru This,Daniel Bedingfield
2002,62,"Pass the Courvoisier, Part II",Busta Rhymes featuring P. Diddy and Pharrell
2002,63,Lose Yourself,Eminem
2002,64,Butterflies,Michael Jackson
2002,65,What About Us?,Brandy
2002,66,Underneath Your Clothes,Shakira
2002,67,Rainy Dayz,Mary J. Blige featuring Ja Rule
2002,68,Differences,Ginuwine
2002,69,If I Could Go!,Angie Martinez featuring Lil' Mo and Sacario
2002,70,The Whole World,Outkast featuring Killer Mike
2002,71,Underneath It All,No Doubt featuring Lady Saw
2002,72,Caramel,City High featuring Eve
2002,73,Luv U Better,LL Cool J
2002,74,Gimme the Light,Sean Paul
2002,75,Gone,'N Sync
2002,76,Livin' It Up,Ja Rule featuring Case
2002,77,Rollout (My Business),Ludacris
2002,78,Here Is Gone,Goo Goo Dolls
2002,79,No More Drama,Mary J. Blige
2002,80,Days Go By,Dirty Vegas
2002,81,Baby,Ashanti
2002,82,The Good Stuff,Kenny Chesney
2002,83,We Thuggin',Fat Joe featuring R. Kelly
2002,84,Good Morning Beautiful,Steve Holy
2002,85,Rock the Boat,Aaliyah
2002,86,Drive (For Daddy Gene),Alan Jackson
2002,87,Standing Still,Jewel
2002,88,Anything,Jaheim featuring Next
2002,89,Full Moon,Brandy
2002,90,Uh Huh,B2K
2002,91,A New Day Has Come,Celine Dion
2002,92,Turn Off the Light,Nelly Furtado
2002,93,Living and Living Well,George Strait
2002,94,My List,Toby Keith
2002,95,Hands Clean,Alanis Morissette
2002,96,Sk8er Boi,Avril Lavigne
2002,97,Long Time Gone,Dixie Chicks
2002,98,Where Were You (When the World Stopped Turning),Alan Jackson
2002,99,Like I Love You,Justin Timberlake
2002,100,I Do!!,Toya
2003,1,In Da Club,50 Cent
2003,2,Ignition (Remix),R. Kelly
2003,3,Get Busy,Sean Paul
2003,4,Crazy in Love,Beyoncé featuring Jay-Z
2003,5,When I'm Gone,3 Doors Down
2003,6,Unwell,Matchbox Twenty
2003,7,Right Thurr,Chingy
2003,8,Miss You,Aaliyah
2003,9,Picture,Kid Rock featuring Sheryl Crow
2003,10,Bring Me to Life,Evanescence featuring Paul McCoy
2003,11,Get Low,Lil Jon & The East Side Boyz featuring Ying Yang Twins
2003,12,Baby Boy,Beyoncé featuring Sean Paul
2003,13,Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee"
2003,14,21 Questions,50 Cent featuring Nate Dogg
2003,15,All I Have,Jennifer Lopez featuring LL Cool J
2003,16,Beautiful,Christina Aguilera
2003,17,I Know What You Want,Busta Rhymes and Mariah Carey featuring Flipmode Squad
2003,18,I'm with You,Avril Lavigne
2003,19,Drift Away,Uncle Kracker featuring Dobie Gray
2003,20,Magic Stick,Lil' Kim featuring 50 Cent
2003,21,P.I.M.P.,50 Cent
2003,22,"Bump, Bump, Bump",B2K and P. Diddy
2003,23,Into You,Fabolous featuring Tamia
2003,24,Can't Let You Go,Fabolous featuring Lil' Mo and Mike Shorey
2003,25,Mesmerize,Ja Rule featuring Ashanti
2003,26,Where Is the Love?,The Black Eyed Peas
2003,27,The Game of Love,Santana featuring Michelle Branch
2003,28,Lose Yourself,Eminem
2003,29,Rock wit U (Awww Baby),Ashanti
2003,30,Cry Me a River,Justin Timberlake
2003,31,How You Gonna Act Like That,Tyrese
2003,32,Rock Your Body,Justin Timberlake
2003,33,No Letting Go,Wayne Wonder
2003,34,Frontin',Pharrell featuring Jay-Z
2003,35,Landslide,Dixie Chicks
2003,36,Work It,Missy Elliott
2003,37,'03 Bonnie & Clyde,Jay-Z featuring Beyoncé
2003,38,Don't Mess with My Man,Nivea featuring Jagged Edge
2003,39,So Gone,Monica
2003,40,Air Force Ones,Nelly featuring St. Lunatics
2003,41,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee
2003,42,Beautiful,Snoop Dogg featuring Pharrell and Charlie Wilson
2003,43,Gossip Folks,Missy Elliott featuring Ludacris
2003,44,Miss Independent,Kelly Clarkson
2003,45,Calling All Angels,Train
2003,46,Damn!,YoungBloodZ featuring Lil Jon
2003,47,This Is the Night,Clay Aiken
2003,48,Your Body Is a Wonderland,John Mayer
2003,49,Headstrong,Trapt
2003,50,In Those Jeans,Ginuwine
2003,51,Stand Up,Ludacris featuring Shawnna
2003,52,The Remedy (I Won't Worry),Jason Mraz
2003,53,Why Don't You & I,Santana featuring Alex Band
2003,54,Excuse Me Miss,Jay-Z
2003,55,Jenny from the Block,Jennifer Lopez featuring Jadakiss and Styles P
2003,56,Are You Happy Now?,Michelle Branch
2003,57,Forever and for Always,Shania Twain
2003,58,I Can,Nas
2003,59,Underneath It All,No Doubt featuring Lady Saw
2003,60,If You're Not the One,Daniel Bedingfield
2003,61,Thoia Thoing,R. Kelly
2003,62,Here Without You,3 Doors Down
2003,63,Wanksta,50 Cent
2003,64,My Love Is Like...Wo,Mýa
